diagnosis,count,percentage,global,irrelevant,local
irregular ectopic atrial tachycardia,35,0.0,1,0,1
"abnormal t, probable ischemia, lateral leads",35,0.0,1,0,1
sinus rhythm with 2nd degree (mobitz ii) sa block,35,0.0,1,0,0
probable atrial fibrillation with rapid ventricular response with pvcs or aberrant ventricular conduction,35,0.0,1,0,1
"inferior st elevation, consider recent infarction",35,0.0,1,0,1
possible atrial flutter with pvcs or aberrant ventricular conduction,35,0.0,1,0,1
consider acute lateral infarction,34,0.0,1,0,0
septal st changes may be due to hypertrophy and/or ischemia,34,0.0,1,0,1
sinus bradycardia with interpolated pvc(s).,34,0.0,1,0,1
anterior t wave changes may be due to hypertrophy and/or ischemia,34,0.0,1,0,1
septal st changes suggest myocardial injury/ischemia,34,0.0,1,0,1
sinus rhythm with 2:1 a-v block,34,0.0,1,0,0
possible atrial flutter with pvcs,34,0.0,1,0,1
sinus rhythm with frequent pvcs with pac(s),34,0.0,1,0,1
atrial flutter with uncontrolled ventricular response,34,0.0,1,0,0
possible ectopic atrial rhythm with bigeminal pvcs,34,0.0,1,0,1
anteroseptal st elevation - repeat if myocardial injury is suspected,34,0.0,1,0,1
st changes in the septal lead,34,0.0,0,0,1
- demand a-v sequential and ventricular pacing,34,0.0,1,0,1
"anteroseptal infarct, acute",34,0.0,1,0,0
atrial flutter with rapid ventricular response with pvc(s) or aberrant ventricular conduction.,34,0.0,1,0,1
sinus rhythm with multifocal pvcs with borderline 1st degree a-v block,34,0.0,1,0,1
- paroxysmal idioventricular rhythm,33,0.0,1,0,0
atrial fibrillation with uncontrolled ventricular response with pvc(s).,33,0.0,1,0,1
atrial fibrillation with rapid ventricular response with multifocal pvcs.,33,0.0,1,0,1
probable atrial fibrillation with uncontrolled ventricular response.,33,0.0,1,0,0
"poor quality data, interpretation may be affected",33,0.0,0,1,0
sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree a-v block,33,0.0,1,0,1
possible atrial flutter with pvc(s).,33,0.0,1,0,1
sinus bradycardia with pacs with 1st degree a-v block.,33,0.0,1,0,1
lead(s) unsuitable for analysis: i avl,33,0.0,0,1,0
predominant 2:1 av block,33,0.0,1,0,0
sinus tachycardia with multifocal pvcs.,33,0.0,1,0,1
partial missing lead(s): v4,33,0.0,0,1,0
"nonspecific repol abnormality, inferior leads",33,0.0,0,0,1
anterolateral st elevation - cannot rule out myocardial injury,33,0.0,1,0,1
inferior and anterior t wave changes are abnormal,33,0.0,0,0,1
inferior st-t changes are borderline abnormal,33,0.0,1,0,1
possible extensive infarct with acute anterolateral changes,33,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvc(s),33,0.0,1,0,1
atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,33,0.0,1,0,1
"abnormal t, probable ischemia, widespread",33,0.0,1,0,1
ant/septal + lateral t wave changes,33,0.0,0,0,1
atrial flutter with 2:1 av block,32,0.0,1,0,0
sinus rhythm with frequent multifocal pvcs with borderline 1st degree a-v block,32,0.0,1,0,1
inferior and ant/septal st-t changes are probably due to ventricular hypertrophy,32,0.0,1,0,1
--- dextrocardia ---,32,0.0,1,0,0
sinus bradycardia with pvc(s) with pac(s).,32,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl,32,0.0,0,1,0
possible early repolarization,32,0.0,1,0,0
septal+lateral st-t changes may be due to myocardial ischemia,32,0.0,1,0,1
probable atrial fibrillation with frequent multifocal pvcs or aberrant ventricular conduction.,32,0.0,1,0,1
extensive st-t changes suggest myocardial infarction,32,0.0,1,0,1
possible atrial flutter with rapid ventricular response with pvc(s).,32,0.0,1,0,1
sinus arrhythmia with pvc(s) with borderline 1st degree a-v block.,32,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with pvc(s) or aberrant ventricular conduction,31,0.0,1,0,1
possible atrial flutter with pvcs.,31,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with 1st degree a-v block,31,0.0,1,0,1
sinus rhythm with frequent pvcs with 1st degree a-v block.,31,0.0,1,0,1
sinus rhythm with frequent pvcs with borderline 1st degree a-v block.,31,0.0,1,0,1
sinus tachycardia with 1st degree a-v block.,31,0.0,1,0,0
a-v dissociation with unclassified aberrant complexes,31,0.0,1,0,1
- non-sustained ventricular tachycardia,31,0.0,1,0,0
irregular ectopic atrial tachycardia.,30,0.0,1,0,1
inferior/lateral t wave changes are abnormal,30,0.0,1,0,1
"inferolateral infarct, old",30,0.0,1,0,0
sinus tachycardia with pacs with borderline 1st degree a-v block,30,0.0,1,0,1
"anterolateral q wave, probably normal for age",30,0.0,0,0,1
ant/septal+lateral t wave changes may be due to myocardial ischemia,30,0.0,1,0,1
ventricular couplets,30,0.0,1,0,1
rvh with secondary st-t changes,29,0.0,1,0,1
anteroseptal infarct - probably acute,29,0.0,1,0,0
broad p waves,29,0.0,0,0,1
probable atrial fibrillation with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction.,29,0.0,1,0,1
irregular ectopic atrial rhythm with pvc(s),29,0.0,1,0,1
- frequent supraventricular extrasystoles,29,0.0,1,0,1
inferior + anterior t wave change are borderline abnormal for age/sex,29,0.0,1,0,1
consider septal infarct - age undetermined,29,0.0,1,0,0
changes v3-v4 are probably due to left ventricular hypertrophy but consider anterior infarction,29,0.0,1,0,1
ant/septal and lateral t wave changes,29,0.0,0,0,1
inferior and lateral t changes,29,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with pac(s) with 1st degree a-v block,28,0.0,1,0,1
possible atrial flutter with rapid ventricular response with pvcs.,28,0.0,1,0,1
septal + lateral st-t changes,28,0.0,0,0,1
anterolateral st elevation,28,0.0,0,0,1
with slow ventricular response,28,0.0,1,0,0
anterior r decrease + inferior q,28,0.0,0,0,1
atrial-ventricular dual-paced complexes,28,0.0,1,0,1
extensive st-t changes may be due to myocardial infarct or cva,28,0.0,1,0,1
consider acute inferior infarction,28,0.0,1,0,0
sinus tachycardia with pacs with borderline 1st degree a-v block.,28,0.0,1,0,1
"rae, consider biatrial enlargement",28,0.0,1,0,0
probable atrial fibrillation with rapid ventricular response with frequent pvcs or aberrant ventricular conduction,28,0.0,1,0,1
possible lvh with secondary st-t changes,28,0.0,1,0,1
summary: available leads normal,27,0.0,0,1,0
rightward qrs axis,27,0.0,1,0,0
sinus bradycardia with pvcs with 1st degree a-v block,27,0.0,1,0,1
failure to sense and/or capture (?magnet),27,0.0,0,1,0
possible atrial flutter with rapid ventricular response with pvcs or aberrant ventricular conduction,27,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pvcs,27,0.0,1,0,1
sinus arrhythmia with pvcs with 1st degree a-v block,27,0.0,1,0,1
septal+lateral st-t changes are nonspecific,27,0.0,0,0,1
sinus tachycardia with pvc(s) with borderline 1st degree a-v block,27,0.0,1,0,1
sinus bradycardia - consider sinus rhythm with 2:1 s-a block.,27,0.0,1,0,0
sinus bradycardia with pacs with borderline 1st degree a-v block.,27,0.0,1,0,1
inferior/lateral t changes,27,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with pvc(s) with 1st degree a-v block,27,0.0,1,0,1
sinus rhythm with bigeminal pacs with borderline 1st degree a-v block.,27,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pvcs,27,0.0,1,0,1
probable old anteroseptal infarction,27,0.0,1,0,0
atrial fibrillation with fusion complexes or aberrant ventricular conduction,26,0.0,1,0,1
atrial flutter with slow ventricular response with high degree a-v block,26,0.0,1,0,0
anteroseptal st elevation - cannot rule out myocardial injury,26,0.0,1,0,1
sinus bradycardia with multifocal pvcs,26,0.0,1,0,1
sinus bradycardia with frequent multifocal pvcs,26,0.0,1,0,1
probable atrial fibrillation with slow ventricular response with complete a-v block,26,0.0,1,0,0
anterior t wave changes are abnormal,26,0.0,1,0,1
probable aberrantly conducted supraventricular extrasystoles,26,0.0,1,0,1
"probable anterolateral infarct, recent",26,0.0,1,0,0
"extensive anterior infarct, acute",26,0.0,1,0,0
anteroseptal st-t changes are probably due to ventricular hypertrophy,26,0.0,1,0,1
anteroseptal t wave changes suggest myocardial injury/ischemia,26,0.0,1,0,1
sinus rhythm with intermittent conduction defect.,26,0.0,1,0,0
faulty v3 - omitted from analysis,26,0.0,0,1,0
lead(s) avl were not used for morphology analysis,26,0.0,0,1,0
consider dextrocardia,26,0.0,1,0,0
rbbb with rad - possible left posterior fascicular block,26,0.0,1,0,1
sinus rhythm with pvc(s) with pac(s) with borderline 1st degree a-v block.,25,0.0,1,0,1
atrial flutter with slow ventricular response with 4:1 a-v block,25,0.0,1,0,0
inferior + anterior st-t change may be due to myocardial ischemia,25,0.0,1,0,1
ant/septal+lateral st-t changes are nonspecific,25,0.0,0,0,1
probable atrial fibrillation with rapid ventricular response with pvcs,25,0.0,1,0,1
atrial-sensed ventricular-paced rhythm,25,0.0,1,0,1
probable atrial fibrillation with multifocal pvcs or aberrant ventricular conduction.,25,0.0,1,0,1
- multiform pvcs or aberrant ventricular conduction,25,0.0,1,0,1
uncertain rhythm: review,25,0.0,1,0,0
consider left ventricular hypertrophy suggested by voltage criteria only,25,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with multifocal pvcs or aberrant ventricular conduction,25,0.0,1,0,1
inferior and ant/septal t wave changes are abnormal,25,0.0,1,0,1
consider wolff-parkinson-white pattern type b,25,0.0,1,0,1
lead(s) unsuitable for analysis: iii avf,25,0.0,0,1,0
lateral st changes may be due to hypertrophy and/or ischemia,25,0.0,1,0,1
atrial fibrillation with frequent pvcs.,25,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with pvc(s),25,0.0,1,0,1
- multifocal pvcs or aberrant ventricular conduction,25,0.0,1,0,1
q in inferior + lateral leads,25,0.0,0,0,1
inferior/lateral st changes are probably due to ventricular hypertrophy,25,0.0,1,0,1
possible ectopic atrial rhythm with bigeminal pacs,25,0.0,1,0,1
possible acute anterolateral infarct,24,0.0,1,0,0
anterior infarction - age undetermined,24,0.0,1,0,0
strongly suggests myocardial infarction,24,0.0,1,0,0
possible old anteroseptal infarction,24,0.0,1,0,0
possible ectopic atrial rhythm with frequent pvcs.,24,0.0,1,0,1
"st depr, consider ischemia, anterior leads",24,0.0,1,0,1
lateral st-t changes may be related to electronic pacemaker,24,0.0,0,0,1
possible ectopic atrial rhythm with bigeminal pvcs.,24,0.0,1,0,1
possible ectopic atrial rhythm with multifocal pvcs,24,0.0,1,0,1
sinus rhythm with pvc(s) with pac(s) with 1st degree a-v block.,24,0.0,1,0,1
partial missing lead(s): v3,24,0.0,0,1,0
atrial flutter with rapid ventricular response with pvc(s),24,0.0,1,0,1
"tall r wave in v2, consider rvh or pmi",24,0.0,1,0,1
sinus bradycardia with pvcs with borderline 1st degree a-v block,24,0.0,1,0,1
probable atrial fibrillation with complete a-v block.,24,0.0,1,0,0
inferior and ant/septal t wave changes may be due to hypertrophy and/or ischemia,24,0.0,1,0,1
wide complex tachycardia,24,0.0,1,0,1
"appearances suggest arm lead reversal - only leads avf, v1 - v6 analysed.",24,0.0,0,1,0
extensive st-t changes may be related to electronic pacemaker,24,0.0,1,0,1
inferior + septal t wave changes are nonspecific,23,0.0,0,0,1
irbbb and lpfb,23,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pvc(s).,23,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with borderline 1st degree a-v block.,23,0.0,1,0,0
sinus bradycardia with sinus arrhythmia with pvcs,23,0.0,1,0,1
inferior t wave changes may be a normal variant for a male of this age,23,0.0,0,0,1
anterior st-t changes suggest myocardial injury/ischemia,23,0.0,1,0,1
anterolateral st-t changes are abnormal,23,0.0,0,0,1
"lad, consider lafb or inferior infarct",23,0.0,1,0,0
frequent pvcs,23,0.0,1,0,1
with uncontrolled ventricular response,23,0.0,1,0,0
sinus rhythm with 2nd degree (mobitz ii) sa block.,23,0.0,1,0,0
inferior and septal st-t changes may be due to myocardial ischemia,23,0.0,1,0,1
marked ant/septal stj depression is probably reciprocal to inferior infarct,23,0.0,1,0,1
tall r v1/v2 consistent with the infarct,23,0.0,1,0,1
inferior/lateral st-t changes may be related to electronic pacemaker,23,0.0,1,0,1
sinus arrhythmia with pvcs with borderline 1st degree a-v block.,23,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v2 v3,23,0.0,0,1,0
sinus arrhythmia with multifocal pvcs.,23,0.0,1,0,1
atrial flutter with rapid ventricular response with pvc(s).,23,0.0,1,0,1
inferior and ant/septal st-t changes suggest myocardial injury/ischemia,23,0.0,1,0,1
atrial flutter with pvc(s),23,0.0,1,0,1
wandering atrial pacemaker,22,0.0,1,0,0
"extensive anterior infarct, old",22,0.0,1,0,0
inferior t wave changes are borderline abnormal for age/sex,22,0.0,1,0,1
changes are possibly due to right ventricular hypertrophy,22,0.0,1,0,0
anterolateral st changes suggest myocardial injury/ischemia,22,0.0,1,0,1
*** extensive infarct - possibly acute ***,22,0.0,1,0,0
inferior and anterior st-t changes suggest myocardial injury/ischemia,22,0.0,1,0,1
with fusion complexes or aberrant ventricular conduction,22,0.0,1,0,1
atrial fibrillation with rapid ventricular response with frequent pvcs.,22,0.0,1,0,1
non specific changes,22,0.0,1,0,0
inferior and septal st-t changes may be due to hypertrophy and/or ischemia,22,0.0,1,0,1
may be related to the electronic pacemaker activity,22,0.0,1,0,1
sinus arrhythmia with pvc(s) with 1st degree a-v block.,22,0.0,1,0,1
inferior + anterior st-t change,22,0.0,0,0,1
probable inferior infarction - age undetermined,22,0.0,1,0,0
"repol abnrm suggests ischemia, anterior leads",22,0.0,1,0,1
a-flutter/fibrillation w/ complete av block,22,0.0,1,0,0
sinus arrhythmia with pvcs with borderline 1st degree a-v block,22,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with pac(s),22,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v2 v3 v4,22,0.0,0,1,0
ventricular-paced rhythm,22,0.0,1,0,1
abnormally high sv1 + rv5,22,0.0,0,0,1
inferior and lateral st elevation,22,0.0,0,0,1
probable atrial fibrillation with slow ventricular response with pvc(s),22,0.0,1,0,1
"sequence error: v2,v3 omitted",22,0.0,0,1,0
atrial flutter with pvc(s) or aberrant ventricular conduction.,22,0.0,1,0,1
sinus rhythm with interpolated pvc(s) with borderline 1st degree a-v block,22,0.0,1,0,1
sinus arrhythmia with interpolated pvcs,22,0.0,1,0,1
a-v dissociation with unclassified aberrant complexes.,21,0.0,1,0,1
sinus bradycardia with pvcs with pacs,21,0.0,1,0,1
possible ectopic atrial bradycardia with pacs,21,0.0,1,0,1
"vent pre-excitat'n(wpw), left acces'y pathway",21,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia.,21,0.0,1,0,0
high qrs voltage - probable normal variant,21,0.0,1,0,1
ant/septal+lateral st-t changes suggest myocardial injury/ischemia,21,0.0,1,0,1
sinus bradycardia with interpolated pvc(s) with 1st degree a-v block,21,0.0,1,0,1
"probable anteroseptal infarct, acute",21,0.0,1,0,0
borderline abnormal for age and sex. interpret together with clinical data,21,0.0,1,0,0
"septal st elevation, consider recent infarction",21,0.0,1,0,1
right axis deviation - left posterior fascicular block,21,0.0,1,0,0
inferior st changes may be normal for age,21,0.0,0,0,1
sinus rhythm with multifocal pvcs with pac(s).,21,0.0,1,0,1
q in inferior + anterior leads,21,0.0,0,0,1
sinus rhythm with interpolated pvc(s) with 1st degree a-v block,21,0.0,1,0,1
qr complex in v1,21,0.0,0,0,1
"vent pre-excit'n(wpw), right access'y pathway",20,0.0,1,0,1
inferior and anterior st changes are nonspecific,20,0.0,0,0,1
- frequent multifocal pvcs or aberrant ventricular conduction,20,0.0,1,0,1
qrs axis leftward (superior) for age,20,0.0,1,0,0
- paroxysmal idioventricular rhythm or aberrant ventricular conduction,20,0.0,1,0,1
sinus arrhythmia with frequent multifocal pvcs.,20,0.0,1,0,1
"anterolateral st elevation, consider recent infarction",20,0.0,1,0,1
possible ectopic atrial tachycardia with pacs.,20,0.0,1,0,1
inferior q + low r in ant/septal leads,20,0.0,0,0,1
lead(s) ii were not used for morphology analysis,20,0.0,0,1,0
possible acute septal infarct,20,0.0,1,0,0
sinus rhythm with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block.,20,0.0,1,0,1
atrial fibrillation with slow ventricular response with multifocal pvcs or aberrant ventricular conduction,20,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pac(s).,20,0.0,1,0,1
lead(s) unsuitable for analysis: v3 v4 v5,20,0.0,0,1,0
"probable posterior infarct, recent",20,0.0,1,0,0
r' in v1,20,0.0,0,0,1
septal st-t changes are abnormal,20,0.0,0,0,1
atrial fibrillation with rapid ventricular response with frequent pvcs,20,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pvcs.,20,0.0,1,0,1
possible atrial flutter with rapid ventricular response with pvcs,20,0.0,1,0,1
- frequent multiform pvcs or aberrant ventricular conduction,20,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with frequent pvcs or aberrant ventricular conduction.,20,0.0,1,0,1
atrial flutter with uncontrolled ventricular response.,19,0.0,1,0,0
probable acute anteroseptal infarct,19,0.0,1,0,0
sinus rhythm with multifocal pvcs with 1st degree a-v block.,19,0.0,1,0,1
sinus rhythm with fusion complexes,19,0.0,1,0,1
"anteroseptal infarct, possibly acute",19,0.0,1,0,0
sinus rhythm with multifocal interpolated pvcs,19,0.0,1,0,1
"borderline st depression, anterior leads",19,0.0,0,0,1
"abnormal r-wave progression, late transition",19,0.0,0,0,1
sinus rhythm with bigeminal pvcs with borderline 1st degree a-v block.,19,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl avf,19,0.0,0,1,0
possible ectopic atrial tachycardia with pac(s).,19,0.0,1,0,1
sinus tachycardia with multifocal pvcs with pac(s),19,0.0,1,0,1
sinus bradycardia with pvcs with pacs.,19,0.0,1,0,1
possible ectopic atrial rhythm with frequent multifocal pvcs,19,0.0,1,0,1
inferior and anterior st-t changes are probably due to ventricular hypertrophy,19,0.0,1,0,1
extensive st changes suggest myocardial injury/ischemia,19,0.0,1,0,1
*** possible measurement error - check data ***,19,0.0,0,1,0
ant/septal and lateral t wave changes are abnormal,18,0.0,0,0,1
sinus bradycardia with interpolated pvcs.,18,0.0,1,0,1
atrial fibrillation with frequent multifocal pvcs.,18,0.0,1,0,1
"lateral infarct, recent",18,0.0,1,0,0
sinus rhythm with aberrantly conducted supraventricular complexes with pvc(s) with pac(s),18,0.0,1,0,1
inferior infarct - possibly acute,18,0.0,1,0,0
probable atrial fibrillation with slow ventricular response.,18,0.0,1,0,0
suggests limb lead reversal - only v1 - v6 analysed,18,0.0,0,1,0
abnormally tall p in v1 or v2,18,0.0,0,0,1
anteroseptal t wave changes suggest myocardial infarction,18,0.0,1,0,1
inferior+ant/septal t wave change may be due to myocardial ischemia,18,0.0,1,0,1
probable atrial fibrillation with slow ventricular response with complete a-v block.,18,0.0,1,0,0
sinus tachycardia with multifocal pvcs with pacs.,18,0.0,1,0,1
sinus bradycardia with pvcs with 1st degree a-v block.,18,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block,18,0.0,1,0,0
sinus tachycardia with aberrantly conducted supraventricular complexes with pvc(s),18,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avf,18,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v2 v3 v4 v5 v6,18,0.0,0,1,0
no further analysis attempted - not enough leads could be measured,18,0.0,0,1,0
"inferoposterior infarct, old",18,0.0,1,0,0
qrs changes in v2 probably due to lvh but consider septal infarct,18,0.0,1,0,1
sinus rhythm with pvcs with pacs with borderline 1st degree a-v block.,18,0.0,1,0,1
inferior/lateral st-t changes are borderline,18,0.0,1,0,1
possible ectopic atrial tachycardia with pvc(s),18,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pac(s),18,0.0,1,0,1
changes are abnormal for age and gender.,18,0.0,1,0,0
ventricular preexcitation(wpw),18,0.0,1,0,1
sinus rhythm with paroxysmal idioventricular rhythm.,18,0.0,1,0,0
t amp exceeds age/gender limit,18,0.0,0,0,1
anteroseptal st elevation,18,0.0,0,0,1
sinus tachycardia with pvc(s) with pac(s) with borderline 1st degree a-v block,18,0.0,1,0,1
extensive st elevation,18,0.0,0,0,1
possible extensive infarction - age undetermined,18,0.0,1,0,0
st-t changes in the septal lead,18,0.0,0,0,1
sinus tachycardia with sinus arrhythmia with multifocal pvcs.,18,0.0,1,0,1
inferior and ant/septal t wave changes,17,0.0,0,0,1
anterior t wave changes are probably due to ventricular hypertrophy,17,0.0,1,0,1
lateral st elevation - probable post operative pericarditis,17,0.0,1,0,1
consider acute anteroseptal infarction,17,0.0,1,0,0
inferior and ant/septal t wave changes suggest myocardial infarct,17,0.0,1,0,1
consider acute anteroseptal infarct,17,0.0,1,0,0
2:1 a-v block,17,0.0,1,0,0
"nonspecific st depression, anterior leads",17,0.0,0,0,1
borderline left axis deviation,17,0.0,1,0,0
septal t wave changes,17,0.0,0,0,1
"rsr' in v1 or v2, right vcd or rvh",17,0.0,1,0,1
probable atrial fibrillation with slow ventricular response with pvc(s) or aberrant ventricular conduction,17,0.0,1,0,1
"if rhythm interpretation is confirmed, the following report may not be valid",17,0.0,0,1,0
consider lvh suggested by voltage criteria only,17,0.0,1,0,1
left ventricular hypertrophy with secondary st-t changes,17,0.0,1,0,1
ant/septal and lateral st changes suggest myocardial injury/ischemia,17,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with pvcs.,17,0.0,1,0,1
partial missing lead(s): v5,17,0.0,0,1,0
sinus tachycardia with aberrantly conducted supraventricular complexes with pvc(s) with pac(s),17,0.0,1,0,1
*** dextrocardia - repeat with reversed leads ***,17,0.0,0,1,0
- demand a-v sequential pacing,17,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,17,0.0,1,0,1
"borderline low voltage, extremity leads",17,0.0,0,0,1
lead(s) unsuitable for analysis: ii avf,17,0.0,0,1,0
possible extensive infarct with acute lateral changes,16,0.0,1,0,1
inferior t wave changes are borderline,16,0.0,1,0,1
inferior/lateral t changes are borderline abnormal,16,0.0,1,0,1
inferior and anterior t wave changes are probably due to ventricular hypertrophy,16,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree a-v block.,16,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with frequent multifocal pvcs,16,0.0,1,0,1
sinus rhythm with frequent pvcs with pac(s).,16,0.0,1,0,1
atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,16,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pvc(s) with borderline 1st degree a-v block,16,0.0,1,0,1
possible ectopic atrial bradycardia with pvcs,16,0.0,1,0,1
sinus arrhythmia with multifocal pvcs with 1st degree a-v block,16,0.0,1,0,1
possible atrial arrhythmia,16,0.0,1,0,0
inferior st changes suggest myocardial injury/ischemia,16,0.0,1,0,1
sinus bradycardia with pvc(s) with borderline 1st degree a-v block.,16,0.0,1,0,1
inferior and ant/septal t wave changes are probably due to ventricular hypertrophy,16,0.0,1,0,1
sinus rhythm with pvcs with occasional pacs,16,0.0,1,0,1
probable atrial fibrillation with frequent pvcs,16,0.0,1,0,1
extensive infarct with acute anterolateral changes,16,0.0,1,0,1
possible bvh with secondary repolarization abnormality,16,0.0,1,0,1
anteroseptal st elevation suggests early repolarization,16,0.0,1,0,1
inferior/lateral st changes suggest myocardial injury/ischemia,16,0.0,1,0,1
possible ectopic atrial rhythm with pvc(s) with pac(s).,16,0.0,1,0,1
inferior and ant/septal t wave changes are borderline abnormal,16,0.0,1,0,1
extensive st-t changes are borderline,16,0.0,1,0,1
sinus rhythm with paroxysmal idioventricular rhythm,16,0.0,1,0,1
sinus tachycardia with pvc(s) with borderline 1st degree a-v block.,16,0.0,1,0,1
atrial flutter with rapid ventricular response with pvcs or aberrant ventricular conduction.,16,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl avf,16,0.0,0,1,0
sinus arrhythmia with interpolated pvc(s).,16,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pvcs.,16,0.0,1,0,1
inferior and septal st-t changes are probably due to ventricular hypertrophy,15,0.0,1,0,1
ant/septal and lateral st-t changes may be due to myocardial infarct or cva,15,0.0,1,0,1
demand ventricular pacing,15,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with frequent pvcs.,15,0.0,1,0,1
wolff-parkinson-white pattern type b,15,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pac(s).,15,0.0,1,0,1
av dissociation,15,0.0,1,0,0
sinus rhythm with pvcs with pacs with 1st degree a-v block,15,0.0,1,0,1
atrial flutter with pvcs.,15,0.0,1,0,1
anterior t wave changes are borderline,15,0.0,1,0,1
probable atrial fibrillation with multifocal pvcs,15,0.0,1,0,1
probable anteroseptal infarction - age undetermined,15,0.0,1,0,0
anterolateral st elevation - repeat if myocardial injury is suspected,15,0.0,0,0,1
sinus tachycardia with frequent pvcs with pac(s),15,0.0,1,0,1
- ventricular fusion complexes,15,0.0,1,0,1
q waves in anterolateral leads,15,0.0,0,0,1
extensive st-t changes are abnormal for age/sex,15,0.0,1,0,1
*** extensive infarct *** with possible acute anterolateral changes,15,0.0,1,0,1
sinus rhythm with pvcs with pacs with borderline 1st degree a-v block,15,0.0,1,0,1
probable anterolateral infarct - age undetermined,15,0.0,1,0,0
atrial flutter with high degree a-v block.,15,0.0,1,0,0
probable atrial fibrillation with rapid ventricular response with multifocal pvcs or aberrant ventricular conduction.,15,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with frequent pvcs,15,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with 1st degree a-v block.,15,0.0,1,0,1
nonspecific st depression,15,0.0,0,0,1
"inferolateral infarct, age indeterminate",14,0.0,1,0,0
possible junctional bradycardia,14,0.0,1,0,0
possible rvh with secondary st-t changes,14,0.0,1,0,1
recent inferior infarct,14,0.0,1,0,0
possible idioventricular rhythm,14,0.0,1,0,0
inferior and anterior st-t changes are abnormal,14,0.0,1,0,1
atrial fibrillation with rapid ventricular response with intermittent conduction defect,14,0.0,1,0,0
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes,14,0.0,1,0,1
"inferior and lateral st elevation, consider recent infarction",14,0.0,1,0,1
lead(s) unsuitable for analysis: v2 v3 v4,14,0.0,0,1,0
sinus tachycardia with aberrantly conducted supraventricular complexes with pvc(s) with pac(s).,14,0.0,1,0,1
sinus tachycardia with non-sustained ventricular tachycardia.,14,0.0,1,0,1
lateral st-t changes may be due to myocardial infarct or cva,14,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,14,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block,14,0.0,1,0,0
sinus rhythm with interpolated pvcs with 1st degree a-v block.,14,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with multifocal pvcs,14,0.0,1,0,1
- 4:1 a-v block,14,0.0,1,0,0
lateral st-t changes are borderline,14,0.0,1,0,1
sinus bradycardia with pvcs with borderline 1st degree a-v block.,14,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,14,0.0,1,0,1
sinus rhythm with 2:1 a-v block.,14,0.0,1,0,0
anteroseptal st-t changes,14,0.0,0,0,1
lead(s) unsuitable for analysis: iii avl v1,14,0.0,0,1,0
anterior t wave changes are abnormal for age/sex,14,0.0,0,0,1
extreme qrs axis deviation,14,0.0,1,0,0
- intermittent conduction defect,14,0.0,1,0,0
possible atrial flutter with rapid ventricular response with frequent pvcs or aberrant ventricular conduction,14,0.0,1,0,1
